case_id,family,subfamily,movement_mode,momentum_ticks,gap_blocks,delta_y,ceiling_height,wall_width,wall_offset,expected_reachable,landing_x,apex_y,margin,notes
linear-flat-walk-mm0-gap0-dy0p0,linear,flat,walk,0,0,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm0-gap0-dy1p0,linear,ascend,walk,0,0,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap0-dym1p0,linear,descend,walk,0,0,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap0-dym2p0,linear,descend,walk,0,0,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm0-gap1-dy0p0,linear,flat,walk,0,1,0.0,,,,True,2.517113405646343,1.2522033525119995,1.317113405646343,
linear-ascend-walk-mm0-gap1-dy1p0,linear,ascend,walk,0,1,1.0,,,,True,1.94476992399465,1.2522033525119995,0.7447699239946501,
linear-descend-walk-mm0-gap1-dym1p0,linear,descend,walk,0,1,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap1-dym2p0,linear,descend,walk,0,1,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm0-gap2-dy0p0,linear,flat,walk,0,2,0.0,,,,True,2.517113405646343,1.2522033525119995,0.3171134056463427,
linear-ascend-walk-mm0-gap2-dy1p0,linear,ascend,walk,0,2,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap2-dym1p0,linear,descend,walk,0,2,-1.0,,,,True,2.8958406866118747,1.2522033525119995,0.6958406866118745,
linear-descend-walk-mm0-gap2-dym2p0,linear,descend,walk,0,2,-2.0,,,,True,3.207960450907294,1.2522033525119995,1.007960450907294,
linear-flat-walk-mm0-gap3-dy0p0,linear,flat,walk,0,3,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm0-gap3-dy1p0,linear,ascend,walk,0,3,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap3-dym1p0,linear,descend,walk,0,3,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap3-dym2p0,linear,descend,walk,0,3,-2.0,,,,True,3.207960450907294,1.2522033525119995,0.007960450907293914,
linear-flat-walk-mm0-gap4-dy0p0,linear,flat,walk,0,4,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm0-gap4-dy1p0,linear,ascend,walk,0,4,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap4-dym1p0,linear,descend,walk,0,4,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap4-dym2p0,linear,descend,walk,0,4,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm0-gap5-dy0p0,linear,flat,walk,0,5,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm0-gap5-dy1p0,linear,ascend,walk,0,5,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap5-dym1p0,linear,descend,walk,0,5,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap5-dym2p0,linear,descend,walk,0,5,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm0-gap6-dy0p0,linear,flat,walk,0,6,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm0-gap6-dy1p0,linear,ascend,walk,0,6,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap6-dym1p0,linear,descend,walk,0,6,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap6-dym2p0,linear,descend,walk,0,6,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm0-gap7-dy0p0,linear,flat,walk,0,7,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm0-gap7-dy1p0,linear,ascend,walk,0,7,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap7-dym1p0,linear,descend,walk,0,7,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm0-gap7-dym2p0,linear,descend,walk,0,7,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap0-dy0p0,linear,flat,walk,1,0,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap0-dy1p0,linear,ascend,walk,1,0,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap0-dym1p0,linear,descend,walk,1,0,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap0-dym2p0,linear,descend,walk,1,0,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap1-dy0p0,linear,flat,walk,1,1,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap1-dy1p0,linear,ascend,walk,1,1,1.0,,,,True,2.366298502068217,1.2522033525119995,1.1662985020682168,
linear-descend-walk-mm1-gap1-dym1p0,linear,descend,walk,1,1,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap1-dym2p0,linear,descend,walk,1,1,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap2-dy0p0,linear,flat,walk,1,2,0.0,,,,True,3.0333486332242363,1.2522033525119995,0.8333486332242361,
linear-ascend-walk-mm1-gap2-dy1p0,linear,ascend,walk,1,2,1.0,,,,True,2.366298502068217,1.2522033525119995,0.1662985020682166,
linear-descend-walk-mm1-gap2-dym1p0,linear,descend,walk,1,2,-1.0,,,,True,3.459075120299828,1.2522033525119995,1.259075120299828,
linear-descend-walk-mm1-gap2-dym2p0,linear,descend,walk,1,2,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap3-dy0p0,linear,flat,walk,1,3,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap3-dy1p0,linear,ascend,walk,1,3,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap3-dym1p0,linear,descend,walk,1,3,-1.0,,,,True,3.459075120299828,1.2522033525119995,0.25907512029982804,
linear-descend-walk-mm1-gap3-dym2p0,linear,descend,walk,1,3,-2.0,,,,True,3.8031629073028737,1.2522033525119995,0.6031629073028735,
linear-flat-walk-mm1-gap4-dy0p0,linear,flat,walk,1,4,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap4-dy1p0,linear,ascend,walk,1,4,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap4-dym1p0,linear,descend,walk,1,4,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap4-dym2p0,linear,descend,walk,1,4,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap5-dy0p0,linear,flat,walk,1,5,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap5-dy1p0,linear,ascend,walk,1,5,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap5-dym1p0,linear,descend,walk,1,5,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap5-dym2p0,linear,descend,walk,1,5,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap6-dy0p0,linear,flat,walk,1,6,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap6-dy1p0,linear,ascend,walk,1,6,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap6-dym1p0,linear,descend,walk,1,6,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap6-dym2p0,linear,descend,walk,1,6,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm1-gap7-dy0p0,linear,flat,walk,1,7,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm1-gap7-dy1p0,linear,ascend,walk,1,7,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap7-dym1p0,linear,descend,walk,1,7,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm1-gap7-dym2p0,linear,descend,walk,1,7,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap0-dy0p0,linear,flat,walk,2,0,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm2-gap0-dy1p0,linear,ascend,walk,2,0,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap0-dym1p0,linear,descend,walk,2,0,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap0-dym2p0,linear,descend,walk,2,0,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap1-dy0p0,linear,flat,walk,2,1,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm2-gap1-dy1p0,linear,ascend,walk,2,1,1.0,,,,True,2.596453105696384,1.2522033525119995,1.396453105696384,
linear-descend-walk-mm2-gap1-dym1p0,linear,descend,walk,2,1,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap1-dym2p0,linear,descend,walk,2,1,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap2-dy0p0,linear,flat,walk,2,2,0.0,,,,True,3.315213067481766,1.2522033525119995,1.1152130674817657,
linear-ascend-walk-mm2-gap2-dy1p0,linear,ascend,walk,2,2,1.0,,,,True,2.596453105696384,1.2522033525119995,0.3964531056963838,
linear-descend-walk-mm2-gap2-dym1p0,linear,descend,walk,2,2,-1.0,,,,True,3.7666011210934505,1.2522033525119995,1.5666011210934503,
linear-descend-walk-mm2-gap2-dym2p0,linear,descend,walk,2,2,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap3-dy0p0,linear,flat,walk,2,3,0.0,,,,True,3.315213067481766,1.2522033525119995,0.11521306748176574,
linear-ascend-walk-mm2-gap3-dy1p0,linear,ascend,walk,2,3,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap3-dym1p0,linear,descend,walk,2,3,-1.0,,,,True,3.7666011210934505,1.2522033525119995,0.5666011210934503,
linear-descend-walk-mm2-gap3-dym2p0,linear,descend,walk,2,3,-2.0,,,,True,4.12814344849486,1.2522033525119995,0.9281434484948594,
linear-flat-walk-mm2-gap4-dy0p0,linear,flat,walk,2,4,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm2-gap4-dy1p0,linear,ascend,walk,2,4,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap4-dym1p0,linear,descend,walk,2,4,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap4-dym2p0,linear,descend,walk,2,4,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap5-dy0p0,linear,flat,walk,2,5,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm2-gap5-dy1p0,linear,ascend,walk,2,5,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap5-dym1p0,linear,descend,walk,2,5,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap5-dym2p0,linear,descend,walk,2,5,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap6-dy0p0,linear,flat,walk,2,6,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm2-gap6-dy1p0,linear,ascend,walk,2,6,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap6-dym1p0,linear,descend,walk,2,6,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap6-dym2p0,linear,descend,walk,2,6,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm2-gap7-dy0p0,linear,flat,walk,2,7,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm2-gap7-dy1p0,linear,ascend,walk,2,7,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap7-dym1p0,linear,descend,walk,2,7,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm2-gap7-dym2p0,linear,descend,walk,2,7,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm3-gap0-dy0p0,linear,flat,walk,3,0,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm3-gap0-dy1p0,linear,ascend,walk,3,0,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm3-gap0-dym1p0,linear,descend,walk,3,0,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm3-gap0-dym2p0,linear,descend,walk,3,0,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm3-gap1-dy0p0,linear,flat,walk,3,1,0.0,,,,False,,1.2522033525119995,,
linear-ascend-walk-mm3-gap1-dy1p0,linear,ascend,walk,3,1,1.0,,,,True,2.7221175192773623,1.2522033525119995,1.5221175192773624,
linear-descend-walk-mm3-gap1-dym1p0,linear,descend,walk,3,1,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm3-gap1-dym2p0,linear,descend,walk,3,1,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm3-gap2-dy0p0,linear,flat,walk,3,2,0.0,,,,True,3.469111048586376,1.2522033525119995,1.269111048586376,
linear-ascend-walk-mm3-gap2-dy1p0,linear,ascend,walk,3,2,1.0,,,,True,2.7221175192773623,1.2522033525119995,0.5221175192773622,
linear-descend-walk-mm3-gap2-dym1p0,linear,descend,walk,3,2,-1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm3-gap2-dym2p0,linear,descend,walk,3,2,-2.0,,,,False,,1.2522033525119995,,
linear-flat-walk-mm3-gap3-dy0p0,linear,flat,walk,3,3,0.0,,,,True,3.469111048586376,1.2522033525119995,0.2691110485863759,
linear-ascend-walk-mm3-gap3-dy1p0,linear,ascend,walk,3,3,1.0,,,,False,,1.2522033525119995,,
linear-descend-walk-mm3-gap3-dym1p0,linear,descend,walk,3,3,-1.0,,,,True,3.9345103175267675,1.2522033525119995,0.7345103175267673,
